City State Population PopChange PopDens Under5 Over65 Asian Black Hispanic Birth InfantD CarD HeartD Income Poverty Unemploy Grants BankpP HousepP
Canton_Massillon__OH_MSA OH 402644 2.2 414.7 6.4 14.9 0.5 7 0.9 13.2 7.9 16.3 394.9 19471 12.8 5.4 3681 8071.9 22.4
Casper__WY_MSA WY 63638 3.9 11.9 6.5 11.4 0.6 0.8 3.7 14.9 3.1 30.5 222.9 22819 13.6 6.4 3896 41622.9 8
Cedar_Rapids__IA_MSA IA 181704 7.7 253.2 6.5 12 1.1 2.2 1.4 14.4 7.1 6.4 276.3 22579 9.3 2.9 4821 10790.1 42
Champaign_Urbana__IL_MSA IL 168473 -2.6 168.9 7.2 9.2 5.8 10.6 2.2 13.6 8.9 9.7 227.6 19235 13.3 3.1 3837 11763.9 25.4
Charleston_North_Charleston__SC_MSA SC 509856 0.6 196.7 8.3 9.1 1.6 31.1 1.9 15.5 11.1 17.1 263.1 17598 16.5 5.5 6486 5095.2 39.9
Charleston__WV_MSA WV 253850 1.4 203.2 5.9 15 0.6 5.5 0.5 13.8 4.6 19 428.7 21300 18.5 5.4 6571 11502.1 13
Charlotte_Gastonia_Rock_Hill__NC_SC_MSA NC 1350243 16.2 399.7 7.3 11.3 1.4 20.4 1.5 14.6 9.3 14 334.7 21943 12.1 3.7 3079 12838.3 63.5
Charlottesville__VA_MSA VA 146617 11.6 124.6 6.4 11.5 2.5 15.9 1.4 13 6 17 264.6 23204 13 2.6 4139 9857 61.1
Chattanooga__TN_GA_MSA TN 447488 5.5 245.2 6.6 13 0.9 14.4 0.9 13.7 7 17.2 410 19890 16.7 4.6 5232 9873.1 32.4
Cheyenne__WY_MSA WY 78473 7.3 29.2 6.8 11.3 1.4 3.1 10.3 15.3 7.5 30.5 277.2 20913 11.5 3.6 8371 7244.5 25.8
Chicago_Gary_Kenosha__IL_IN_WI_CMSA IL 8642175 4.9 1247 8.1 11.3 3.9 19.3 13.1 17.4 9.7 11.3 342.2 25257 13.7 5 3874 13605.4 27.8
Chico_Paradise__CA_MSA CA 194160 6.6 118.4 7.2 18.6 3.7 1.4 9.6 12.9 6.4 23.3 426.1 17157 19 9 4329 6341.2 37.9
Cincinnati_Hamilton__OH_KY_IN_CMSA OH 1934145 6.4 507.7 7.4 12.1 1 11.5 0.6 14.7 9.3 13.2 350.5 21881 12.3 4.2 4230 10721.3 40.5
Clarksville_Hopkinsville__TN_KY_MSA TN 197481 16.5 156.7 8.8 8.7 2.3 20.8 4.4 20.4 9.3 18.5 241.2 14947 16.4 4.2 8121 5678.5 65.9
Cleveland_Akron__OH_CMSA OH 2908439 1.7 805.1 6.7 14.3 1.3 16.5 2.2 14.2 10.1 9 399.3 22921 14.6 5.1 4411 10238.3 24.7
Colorado_Springs__CO_MSA CO 480041 20.9 225.7 7.7 8.2 3.2 7.7 10.1 17.2 7.1 14.3 189.9 19613 12.1 4.6 6717 4737.3 47.2
Columbia__MO_MSA MO 128309 14.2 187.2 6.9 8.5 3.6 8.6 1.3 14 4.7 9.4 231 19849 14 1.7 3881 8965.9 71.7
Columbia__SC_MSA SC 503948 11 345.8 6.7 9.9 1.3 30.2 1.6 14.9 6.9 15.9 270.7 19979 14.4 3.7 6306 8870.4 45.4
Columbus__GA_AL_MSA GA 272035 4.3 173.3 7.8 10.6 1.8 39.6 4.1 16.5 11.8 20.8 343.6 17177 20.9 5.1 6550 9444.7 33.8
Columbus__OH_MSA OH 1460242 8.5 464.7 7.1 10.4 1.9 13.1 1 15.4 7.8 10 298.6 22060 12.4 3.1 4650 11323.4 49.8
Corpus_Christi__TX_MSA TX 387100 10.6 253.4 8.6 10.3 1.1 4.1 56.5 16.8 6.5 16.3 279.8 17350 22.9 8.4 5006 6081.1 20.1
Cumberland__MD_WV_MSA MD 99122 -2.5 131.6 5.5 18.9 0.5 2.6 0.5 9.3 8.5 13.8 548.4 16548 16.7 8 5425 6367.9 22.3
Dallas_Fort_Worth__TX_CMSA TX 4683013 16 514.4 8.3 8.5 3.4 14.2 15.1 17.3 6.8 14.4 258.2 23449 14.9 4 4180 9514.3 42.2
Danville__VA_MSA VA 108602 -0.1 107.1 5.8 16.6 0.4 34 0.6 12.3 16.2 26.6 550.4 16713 16.8 7.4 3505 10691.3 26
Davenport_Moline_Rock_Island__IA_IL_MSA IA 357163 1.8 209.1 7 13.6 0.9 6 5 13.4 7.3 13.5 396.5 20843 12.5 4.4 4581 10776.3 17.6
Dayton_Springfield__OH_MSA OH 944934 -0.7 561.3 6.7 12.8 1.2 14.3 0.9 13.6 7.2 12.4 373.5 21366 12.8 4.5 6319 8231.7 24.1
Daytona_Beach__FL_MSA FL 465925 16.6 292.9 5.7 23.2 1.2 10.5 5.1 10.6 5.3 13.9 568.6 17595 15 4.2 4820 10875.6 55.5
Decatur__AL_MSA AL 141690 7.7 111.1 6.9 12.1 0.4 12 0.8 14.1 7.8 19.9 384 18558 14.1 5.1 4214 7670.3 27.3
Decatur__IL_MSA IL 114265 -2.5 196.8 6.9 14.7 0.6 13.2 0.6 14.1 10.3 16.1 452.9 20842 13.7 8.1 3919 11889.9 17.5
Denver_Boulder_Greeley__CO_CMSA CO 2318355 17.1 272.9 7.2 9.3 2.8 5.2 14 15 6.9 14.1 227.6 24379 10.6 3.9 5312 8423.3 46.9
Des_Moines__IA_MSA IA 429717 9.4 248.7 6.9 11.5 2.1 4.1 2.5 15.2 7.9 13 296.8 23680 9.8 2.8 6400 10382.6 50.4
Detroit_Ann_Arbor_Flint__MI_CMSA MI 5438756 4.9 828.3 7 11.9 1.9 21 2.3 15.2 9.5 12.8 366.7 24459 15.7 4.5 4055 9129.2 27.1
Dothan__AL_MSA AL 134270 2.5 117.6 7.8 11.6 1.1 22.3 1.8 15.1 10 15 337.9 17182 17.7 4.5 5920 11465.7 23.3
Dover__DE_MSA DE 122709 10.6 207.7 7.8 10.9 1.8 20.5 3 15.9 8.4 39.7 304.7 17201 13 5.1 6658 13462.7 48.2
