City State Population PopChange PopDens Under5 Over65 Asian Black Hispanic Birth InfantD CarD HeartD Income Poverty Unemploy Grants BankpP HousepP
Melbourne_Titusville_Palm_Bay__FL_MSA FL 460977 15.5 452.6 6.6 16.7 2 9.2 4.1 11.8 7.9 16.7 360.6 19567 11.6 5.4 9760 6496.9 55.7
Memphis__TN_AR_MS_MSA TN 1083186 7.5 360.1 8.1 10 1.1 41.9 1.1 17.3 14 23 350.6 21564 21.7 4.4 4640 9533.7 47.6
Merced__CA_MSA CA 196123 9.9 101.7 11.1 9.5 10.3 4.8 38.3 21.1 7.2 27 213.8 15106 24.5 16.2 3472 3743.1 38.1
Miami_Fort_Lauderdale__FL_CMSA FL 3515358 10.1 1114.7 6.9 16.9 1.8 19.6 36.6 15.4 7.8 16.2 436.7 21918 20 6.4 4228 12503.1 42.8
Milwaukee_Racine__WI_CMSA WI 1636572 1.8 912.7 6.9 12.2 1.6 14.8 4.6 15 9.9 8.8 350.8 23729 13.3 3.5 3848 12398.8 33.5
Minneapolis_St._Paul__MN_WI_MSA MN 2792137 10 460.4 7.2 9.7 3.4 4.4 2 15.5 7 10.4 241.6 25231 9.5 3.1 3860 10266.6 43.4
Mobile__AL_MSA AL 527118 10.5 186.3 7.5 12.7 0.9 28 1.2 15.9 10.4 26.9 347.5 17148 21.9 5.2 4301 9227.5 37.9
Modesto__CA_MSA CA 421818 13.8 282.2 9.8 11.1 6.6 1.8 26.7 18.2 8.5 19.2 279.5 17342 17.2 14 3219 5025.4 32.8
Monroe__LA_MSA LA 147055 3.4 240.7 7.6 11.7 0.7 33 1 15.2 10.8 25.5 344 16520 25.1 6.4 3709 10033 20.2
Montgomery__AL_MSA AL 319175 9.1 159 7.4 11.4 0.7 36.7 1 15.9 12 18.8 341.8 19607 19 4 7885 10459.5 37.7
Muncie__IN_MSA IN 117625 -1.7 299.1 5.9 12.8 0.7 6.6 0.9 12.1 7 13.4 391.4 19292 16.4 4.6 3458 8433.6 20.1
Myrtle_Beach__SC_MSA CS 169178 17.4 149.2 6.3 13.5 1 18 1.2 12.4 12.2 26.4 341.6 17804 17.8 5.5 3481 9196.2 91.3
Naples__FL_MSA FL 195731 28.7 96.6 6.5 22.4 0.6 5.7 17.1 13.9 8.5 27.7 388.6 30910 13.1 5.8 4144 16523.7 159
Nashville__TN_MSA TN 1134524 15.2 278.5 7.2 10.4 1.4 15.7 1.1 14.7 8.2 18.9 334.5 23037 14.4 3.3 4494 11628.8 56.3
New_London_Norwich__CT_NECMA CT 252958 -0.8 379.8 7.4 12.9 2 5.3 4.1 11.5 7.3 8.9 332.5 24075 8.3 5.9 10770 10369.7 23.1
New_Orleans__LA_MSA LA 1307758 1.8 384.7 7.4 11.1 2.1 35 4.8 16.1 9.5 15.5 348.7 19835 24.4 6.5 5614 9526.9 18.8
New_York_No._New_Jersey_Long_Island__NY_NJ_CT_PA_CMSA/NECMA NY 19876488 2 1955.3 7.2 13.4 6.2 19.3 16.8 15.8 7.9 9.9 403 29021 14.7 6.5 4831 19988.5 11.9
Norfolk_Virginia_Beach_Newport_News__VA_NC_MSA VA 1544945 6.9 657.8 7.9 9.6 3.2 29.7 2.9 17.1 9.2 9.4 278.5 19005 14.1 4.8 8132 5452.1 39.6
Ocala__FL_MSA FL 237308 21.8 150.3 6.4 22.1 0.7 14.6 4 11.9 8.8 28 504.3 16629 18.4 4.9 4802 9817.2 65
Odessa_Midland__TX_MSA TX 243389 7.9 135.1 9.5 9.2 1 6.6 30.4 17.4 7.1 10.3 219.4 19798 18.8 5.7 2901 9198.4 9.3
Oklahoma_City__OK_MSA OK 1030504 7.5 242.6 7.2 10.9 2.2 10.8 4.6 14.6 7.3 15 354.4 19031 16.1 3.4 5589 8184.6 25.3
Omaha__NE_IA_MSA NE 687454 7.5 277.7 7.3 10.5 1.5 8.5 4.3 15.6 8.4 13.9 322.1 22514 10.8 3 5121 10807.9 39.2
Orlando__FL_MSA FL 1467045 19.8 420.2 7.2 13.2 2.5 13.8 10.5 15 7.1 14.3 316.2 20120 13.4 3.8 4490 7836.7 79.1
Owensboro__KY_MSA KY 91011 4.4 196.8 7.2 12.8 0.4 4.3 0.4 13.7 4.9 16.9 409.1 18088 16.5 5.8 3860 9130.8 30
Panama_City__FL_MSA FL 146223 15.1 191.5 7.3 12 2.6 12.4 2.4 14 11.2 20.2 299.8 17840 16.3 5.9 8014 4883.6 49.9
Parkersburg_Marietta__WV_OH_MSA WV 150641 1 150.3 6.1 14.7 0.4 1.1 0.4 12.4 10.1 13.3 451.2 18614 16.1 6.2 4538 11348.8 9.9
Pensacola__FL_MSA FL 397085 15.3 236.4 7.4 11.2 2.5 17.6 2.4 14.3 7.5 17.5 320.7 17517 18.2 3.9 6535 7146.8 52.5
Peoria_Pekin__IL_MSA IL 345954 2 192.6 7 13.9 1 8 1.4 13.9 7.7 12.8 366.3 21464 12.1 6.1 3678 8478 21.9
Philadelphia_Wilmington_Atlantic_City__PA_NJ_DE_MD_CMSA PA 5971860 1.3 1006 7.1 13.8 2.7 19.4 4.7 14.8 8.9 12 385.6 25055 13.2 5.7 5073 14586.3 21.4
Phoenix_Mesa__AZ_MSA AZ 2839539 26.9 194.8 7.8 12.7 2.2 4 19.5 17.8 8.1 16.4 298.5 20999 16.5 3.7 4219 8362.1 65.9
Pine_Bluff__AR_MSA AR 82259 -3.8 93 7.3 12.5 0.5 45.7 0.9 15.2 10.9 25.9 446.8 15782 27.6 7.7 5350 8853.7 10.6
Pittsburgh__PA_MSA PA 2361019 -1.4 510.6 5.8 17.7 0.9 8.3 0.7 11.9 8.4 11.8 497 22751 13.1 5 5621 16208.5 17.7
Pittsfield__MA_NECMA MA 134244 -3.7 144.1 5.6 17.7 1 2.2 1.3 10.9 4 19 448.8 22526 11.7 4.9 5959 14539.9 17.3
Pocatello__ID_MSA ID 73850 11.8 66.3 7.9 9.6 1.3 1.1 5.6 17.6 6.3 11.7 293.2 16382 12.4 5.3 3597 6467.2 27.7
Portland__ME_NECMA ME 251438 3.4 300.9 5.7 13.7 1.1 0.7 0.8 12.4 3.9 11.9 346.2 24090 11 2.9 4494 13235.1 30.4
Portland_Salem__OR_WA_CMSA OR 2112802 17.8 303.8 6.9 12 3.9 2.7 5.6 14.6 6.5 12.5 319.4 22172 11.7 4.7 3870 8351.7 57.8
Providence_Warwick_Pawtucket__RI_NECMA RI 904831 -1.2 961.6 6.4 15.9 2.2 4.8 6.3 13.6 5.2 9.6 410.4 21929 12.8 5.1 4885 15441.9 17.8
Provo_Orem__UT_MSA UT 328142 24.5 164.2 10.2 7 1.8 0.2 4 25.1 5.4 13.4 168 14444 13 2.9 2107 4535.5 64
Pueblo__CO_MSA CO 132901 8 55.6 6.6 15.4 0.8 2.2 39 13.8 8.5 18.6 378.8 17117 20.7 5.9 4692 7100 28.9
Punta_Gorda__FL_MSA FL 133681 20.5 192.7 4.4 34.3 1 4.4 3.4 8 4 13.3 590.2 18976 10 4.2 5489 10786.1 80.8
Raleigh_Durham_Chapel_Hill__NC_MSA NC 1050054 22.3 300.8 7 9.7 2.4 24.2 2.1 14.8 8.8 14.9 267.9 22993 11.2 2.3 4633 9087.6 74.2
Rapid_City__SD_MSA SD 87190 7.2 31.4 8.3 9.8 1.5 2 2.8 16.3 9.9 15.3 292.5 19135 14.8 3.3 5760 9146.7 34.1
Reading__PA_MSA PA 354057 5.2 412.1 6.4 16.1 1.3 3.6 6.4 13.4 6.4 13.1 440.7 22467 11.2 4.3 3629 10260.2 30.3
Redding__CA_MSA CA 163178 11 43.1 7.8 15 2.4 0.8 5 13.2 8.5 25.4 346.6 18326 15.9 9.9 4863 7450.1 51.4
Reno__NV_MSA NV 305792 20.1 48.2 7.5 11.1 5.2 2.5 12.1 15.6 4.1 13.8 295.1 27062 10.3 4.8 3683 7782.1 65.6
Richland_Kennewick_Pasco__WA_MSA WA 182799 21.8 62.1 8.2 9.5 2.7 1.9 17.1 17.3 6 18.6 239.9 20799 12.9 9.4 11727 4623.1 43.3
Richmond_Petersburg__VA_MSA VA 943264 9 320.3 6.7 11.6 1.8 29.9 1.4 14.5 9.8 14.1 335.3 24358 12.1 3.7 5083 16084.3 45.4
Roanoke__VA_MSA VA 228534 1.8 268.6 5.7 16.1 0.9 13.2 0.8 12.5 9.1 10.6 469.8 22417 12 2.9 4678 13949.3 27.9
Rochester__MN_MSA MN 114619 7.7 175.5 7.5 10.1 4.2 0.9 1.2 15.3 7.5 8.2 250 23114 7.3 3 3515 7230.9 49.5
Rochester__NY_MSA NY 1086082 2.2 317 7.6 12.8 1.8 10 3.7 14 7.4 11.6 342.5 22593 11.2 4 3977 9629.8 21.5
Rockford__IL_MSA IL 354774 7.6 228.3 7.6 12.8 1.3 7.6 4.4 14.6 9.9 17.7 316.5 20838 10.7 4.8 3084 9305.1 41.8
Rocky_Mount__NC_MSA NC 145571 9.1 139.2 7 12.6 0.3 41.6 1 15.1 16.5 26.3 426.4 17932 18.7 8.5 3640 8685.8 25.7
Sacramento_Yolo__CA_CMSA CA 1655866 11.8 325.1 8.1 11.5 9.7 7 14.4 15.9 7.5 16.5 271.1 21811 14.6 6 7601 5950.7 42.4
Saginaw_Bay_City_Midland__MI_MSA MI 402949 0.9 227.1 7 12.5 0.9 10.6 5.1 14.3 8.2 17.9 357.5 20908 16.9 4.9 3547 6581.5 22.1
St._Cloud__MN_MSA MN 161211 7.8 92 6.9 11.1 0.9 0.4 0.6 13.4 2.9 20.2 260.8 17141 10.6 5 2903 10704.6 50.4
St._Joseph__MO_MSA MO 97111 -0.6 114.9 6.7 16.3 0.4 3.1 2.2 14 8.8 28.5 489.9 18213 16.2 6.6 4227 10489 19.5
St._Louis__MO_IL_MSA MO 2557806 2.6 400.1 7.3 12.5 1.2 17.6 1.3 14.7 8.4 15.9 392.2 23684 13.1 4.5 7964 11554.8 29.8
Salinas__CA_MSA CA 361907 1.8 108.9 9.7 10.3 10.1 6 39.9 21.3 5.8 14.1 226.7 22548 16.1 11 4864 6068.4 22.2
Salt_Lake_City_Ogden__UT_MSA UT 1247554 16.4 771.3 9.3 8.4 3 1.2 7.3 19.2 6.4 13.2 196.4 18625 9.9 3.2 4073 7550.9 44.8
San_Angelo__TX_MSA TX 102648 4.3 67.4 8 13 1.4 4.4 30 14.8 4.7 22.2 368.6 18209 17.2 3.5 4750 9138 17.2
San_Antonio__TX_MSA TX 1511386 14.1 454.3 8.7 10.6 1.6 6.6 52.1 17.5 7.5 13.1 280.6 18466 21.9 4.3 5738 6485.2 26.8
San_Diego__CA_MSA CA 2722650 9 647.6 8.4 11.7 10.2 6.4 25.1 18.2 6.6 11.4 266.4 21626 16.3 5.3 6291 6428.1 20.5
San_Francisco_Oakland_San_Jose__CA_CMSA CA 6700753 6.7 909.4 7.4 11.7 18.1 8.7 18.6 15.3 6.1 10.8 280.4 28322 10.2 4.6 4827 12830.6 18.9
San_Luis_Obispo_Atascadero_Paso_Robles__CA_MSA CA 233291 7.4 70.6 6.8 15.1 3.7 2.8 16.5 12 7.1 10.9 341.4 19160 12.7 5.5 3437 6880.7 31.6
Santa_Barbara_Santa_Maria_Lompoc__CA_MSA CA 390199 5.6 142.5 8 12.9 5.7 3 32.1 16.7 5 13.5 305.6 24485 14.5 5.7 5266 9907.3 15.8
Santa_Fe__NM_MSA NM 140066 19.7 69.4 6.8 10.2 1.1 0.9 45.2 13 5.8 23.5 174.2 23572 11.6 5.1 13700 8801.6 22.6
Sarasota_Bradenton__FL_MSA FL 538783 10.1 410.3 5.2 30.9 0.8 6.8 4.1 10.2 10.2 16.3 649.5 27083 11.2 3.3 5564 14300.6 64.4
Savannah__GA_MSA GA 284090 10.2 208.6 7.7 11.7 1.4 36.6 1.8 16.6 12 18.7 350.5 19586 18.6 4.8 6947 8710.6 45.4
Scranton__Wilkes_Barre__Hazleton__PA_MSA PA 621641 -2.6 278.4 5.5 19.9 0.7 1 0.7 10.9 6.8 12.5 581.8 19600 12.5 7.1 5412 13000.8 17.7
Seattle_Tacoma_Bremerton__WA_CMSA WA 3367872 13.4 466.2 7 10.6 7.7 5 4 14.4 6 11.2 265 24785 10.3 5.4 5146 9604.6 50.7
Sharon__PA_MSA PA 122045 0.9 181.6 5.7 17.8 0.4 5.5 0.5 11.9 10.3 22.1 509.1 17542 14.8 4.4 4500 10955 17.7
Sheboygan__WI_MSA WI 109896 5.8 213.9 6.3 14.5 2.6 0.7 2.1 12.9 7.9 11.4 420.6 21331 7.3 2.8 2964 11404.4 36.9
Sherman_Denison__TX_MSA TX 101541 6.9 108.8 6.5 17 0.6 7.4 3.7 12.3 5.8 24.1 546.4 18478 15.9 4.8 3806 11128.5 8.4
Shreveport_Bossier_City__LA_MSA LA 378738 0.6 163.5 7.5 13 0.7 36.3 1.4 14.9 10.3 20.6 378.9 18828 22.9 7.2 5299 8442.2 15.9
Sioux_City__IA_NE_MSA IA 120823 5 106.3 7.3 14 1.9 1.9 4.8 16.9 13.9 14.5 460.5 20200 12.8 3.6 3970 10177.7 28.3
Sioux_Falls__SD_MSA SD 160670 15.4 115.8 7 11.9 0.7 0.7 0.7 14.8 7.1 14.4 312.5 22982 8.9 2.1 3906 30202.9 59
South_Bend__IN_MSA IN 258056 4.5 564.3 7.1 14.2 1.3 10.7 2.7 14.3 9.1 9.6 399.7 20587 12.1 4 5302 8236.6 34.9
Spokane__WA_MSA WA 404650 12 229.4 6.7 13.2 2.3 1.6 2.6 13.6 6.9 13.3 345 19564 13.4 5.8 4542 7430.1 48.8
Springfield__IL_MSA IL 203942 7.6 172.5 7.2 14 1 8.3 0.9 13.9 9.6 10.9 398.5 22436 10.6 4.5 10444 14295.7 43.9
Springfield__MO_MSA MO 300980 13.9 164.3 6.3 13 0.8 1.7 1 13.5 7.2 16.3 382.9 18826 15.3 3.4 3597 9237.5 51.7
Springfield__MA_NECMA MA 591110 -2 515.1 6.6 14.4 1.9 7.7 9.8 13.3 8.4 11.4 391.3 20561 13.2 4.5 4566 11181.8 16.1
State_College__PA_MSA PA 132993 6.6 120.1 5.3 9.5 4.3 2.6 1.4 10.3 5.2 12.6 247.4 17659 11.8 2.9 4028 9414 33.1
Steubenville_Weirton__OH_WV_MSA OH 136725 -4.1 235.1 5.2 17.2 0.4 4.2 0.6 10.6 5.4 15.6 493.4 17643 16 6.3 4665 8370.1 5.7
Stockton_Lodi__CA_MSA CA 542504 12.9 387.7 9.4 11.6 15.2 5.8 27.7 18 7.6 20.2 304.6 18093 18.8 11.2 3660 5888.8 32.6
Sumter__SC_MSA SC 106589 5.2 160.2 7.6 9.9 1.1 44.6 1.5 15.7 12.6 25.1 370.4 14429 21.9 6.5 5672 4747.2 30.2
Syracuse__NY_MSA NY 740771 -0.2 240.3 7.6 13 1.5 6.2 1.7 13.8 9.8 13.2 367.9 20103 12.5 4.8 4014 9797.2 17.2
Tallahassee__FL_MSA FL 260611 11.6 220.3 6.6 9 1.7 33.1 3.1 13.8 10.8 23.7 241 18977 17.3 3.1 9879 7983.9 61.4
Tampa_St._Petersburg_Clearwater__FL_MSA FL 2227000 7.7 871.8 6.1 21.9 1.6 10.2 8.6 12.6 8.8 18.1 535.3 21357 14.8 3.9 5404 10921.2 40.8
Terre_Haute__IN_MSA IN 148468 0.6 145.9 6.2 15.9 1 4.3 0.9 13.2 8.6 12.8 498.8 17671 13.9 6.5 4329 12377.8 20.9
Texarkana__TX_Texarkana__AR_MSA TX 123380 2.7 81.6 6.9 14.3 0.4 23.4 1.8 14.4 5.7 23.1 470.5 16560 19.3 7.4 6324 9105.2 15.6
Toledo__OH_MSA OH 611805 -0.4 448.3 7.2 12.9 1.2 12.2 3.9 14.8 8.7 13.7 434.4 21235 14.8 4.8 3929 8588.4 20.1
Topeka__KS_MSA KS 164932 2.5 299.9 6.7 13.1 1 9 6.4 14.3 5.5 10.4 361.1 21425 12.1 5.2 7499 9659.7 31
Tucson__AZ_MSA AZ 780150 17 84.9 7.4 13.8 2.3 3.7 27.9 15.5 7.7 19.2 335.7 18575 19 3.7 6192 6373 47.7
Tulsa__OK_MSA OK 764396 7.8 152.4 7.2 11.6 1.1 8.5 2.7 14.7 8.8 18.1 353.3 20048 16.3 3.3 3430 9439.5 26.3
Tuscaloosa__AL_MSA AL 160760 6.8 121.3 6.4 11.5 1 27.6 0.9 13.7 14.1 22.2 345 17560 19.3 3.6 4073 8387.7 41
Tyler__TX_MSA TX 166723 10.2 179.6 7.1 14 0.6 21.9 7.1 15.5 7.3 18.7 387.5 19994 17.6 6.4 3781 10010.6 13.9
Utica_Rome__NY_MSA NY 298878 -5.6 113.9 7 16.2 1 5.1 2.5 12.5 7.6 12.5 460.9 18257 14.1 5.3 5084 9744.4 14.3
Victoria__TX_MSA TX 82024 10.3 92.9 8.3 11 0.5 6.8 38.9 16.2 7.7 20.7 332.9 20172 18.1 5.1 3304 11713.6 13.8
Visalia_Tulare_Porterville__CA_MSA CA 353175 13.2 73.2 10.3 11 5.8 1.7 44.9 21.3 7.1 32.8 319.4 15783 28.2 15.9 3355 5001.5 36.5
Waco__TX_MSA TX 202983 7.3 194.8 7.5 14 1 16.4 14.9 16.2 8.7 22.8 416.4 17564 21.3 4.5 4873 8284.9 14.1
Washington_Baltimore__DC_MD_VA_WV_CMSA DC 7206517 7.1 752.4 7.1 10.3 4.8 25.7 4.9 15.2 9.2 11.4 267.8 26919 9.9 4.4 10682 8931.7 40
Waterloo_Cedar_Falls__IA_MSA IA 121502 -1.9 214.1 6 13.5 1.1 7.4 1.1 13 6.2 19.3 422.1 19444 14.1 4.6 3717 9281.3 14.3
Wausau__WI_MSA WI 122450 6.1 79.3 6.6 12.7 2.8 0.1 0.5 13.7 5.4 15.2 280 19527 8.4 3.9 2717 11400.6 39.9
West_Palm_Beach_Boca_Raton__FL_MSA FL 1018524 18 515.9 6.3 24.3 1.5 14.4 9.8 13.3 8.1 17.6 528.4 33519 12.3 6.7 6492 10310.8 65.3
Wheeling__WV_OH_MSA WV 154153 -3.2 162.2 5.6 18.5 0.4 2.1 0.4 11.1 7.4 15.8 555 18356 17.8 5.7 4968 12259.9 4.2
Wichita__KS_MSA KS 530508 9.3 178.8 7.7 11.9 2.3 8.1 5.3 16.5 10.2 16.2 324.5 21512 12.5 4.3 4765 8241.9 33.7
Wichita_Falls__TX_MSA TX 137103 5.2 89.2 7.3 13.1 2 9.4 10 15.3 8.9 13.2 444.8 19072 16.5 4.5 6062 9691.3 14.9
Williamsport__PA_MSA PA 118405 -0.3 95.9 6.4 15.8 0.5 2.7 0.7 12.1 10.2 12.4 433.2 18515 13.7 6.5 4245 9601.8 19.1
Wilmington__NC_MSA NC 213580 24.7 202.7 6.3 13.6 0.6 20 1.3 13.2 4.7 18.7 389.4 18560 15.7 5.3 4453 10194.3 95.6
Yakima__WA_MSA WA 218318 15.6 50.8 8.7 12.3 1.8 1.5 29.6 20.4 6.6 23.6 368.5 17759 23 13.4 3935 5580.4 23.7
York__PA_MSA PA 370518 9.1 409.6 6.5 13.6 0.9 3.9 2 12.5 7.8 14.9 347 21680 8.2 4.3 4238 9888.3 42.7
Youngstown_Warren__OH_MSA OH 595215 -0.9 380.7 6.3 16.2 0.5 10.2 1.5 12.8 9.4 14.7 477.9 19155 15.6 6.4 4228 7374.1 18
Yuba_City__CA_MSA CA 139315 13.6 113 9.7 11.9 11.5 3 17.5 18.3 6.9 25.4 287.4 16809 18.1 15 4834 5133 41.3
